단어,count
본인,1658
통장,601
은행,590
말씀,546
계좌,544
저희,522
사건,478
금융,430
확인,361
조사,349
피해자,344
때문,325
부분,321
하나,293
진행,272
사용,270
전화,249
번호,222
정도,215
이거,211
겁니다,204
수사,200
명의,198
개설,195
자금,195
진술,181
농협,176
개인,174
카드,167
녹취,167
연락,164
피해,163
처리,162
감독원,162
경우,154
사람,149
정보,149
내용,146
검사,144
다음,142
입증,138
직원,136
불법,130
가능,124
수사관,122
만약,121
입출금,118
얘기,118
통화,113
사기,112
대출,110
범죄,108
추적,107
선생,105
도용,102
자산,100
시간,100
이게,100
보안,97
건데,95
어디,95
이해,94
거래,92
금액,91
적금,90
그거,90
서울,87
우리,86
이번,85
설명,84
얼마,82
동결,81
검거,80
유출,80
가지,74
발견,74
대포,74
압수,73
조치,73
보험,72
지검,72
검찰,72
발생,71
거기,71
안전,70
자료,70
신용,69
국가,69
자체,68
여기,66
코드,66
상태,65
이상,65
조회,64
등록,63
생각,63
필요,62
이동,61
이용,60
신한,60
증거,59
사실,58
질문,58
현장,58
국민,58
공문,57
서류,56
방문,56
가요,56
입금,56
중앙,55
지금,55
성함,55
검찰청,55
재산,55
부탁,54
메모,54
과정,53
백만,52
담당,50
발급,50
판매,49
상황,49
추가,49
소환장,49
인터넷,48
핸드폰,48
문제,47
신분증,47
국민은행,47
최근,47
경기도,46
청약,46
기록,46
업무,46
현금,46
걱정,45
휴대폰,45
용도,45
기재,44
그쪽,44
관련,44
기억,43
잠시,43
전달,41
그게,41
건가요,41
연루,41
정확,41
협조,40
지점,40
중요,39
분실,39
이유,39
천만,39
일당,39
접수,38
이름,38
강수철,38
접속,37
신분,36
사이트,36
신청,36
일반,35
아이피,35
겁니까,35
사항,35
방법,35
회사,35
광주,35
제출,34
데이터,34
복구,34
그때,33
연결,33
고소,33
금전,33
지급,33
신청서,33
걸로,33
물건,32
발행,32
현재,32
동의,32
원상,31
주소,31
발부,31
나라,31
결과,31
사이,30
정지,30
나중,30
고객,30
대리,30
자택,30
첨단,30
법원,30
해당,29
내역,29
미만,29
와이파이,29
출신,29
이체,28
오늘,28
양도,28
모바일,28
합법,28
주민,28
입장,28
정상,28
가방,27
보호,27
주변,26
유선,26
광명시,26
직장,26
약식,26
고발,26
직접,26
절차,26
지방,26
친구,26
네이버,26
그건,25
체크,25
그것,25
문자,25
기관,25
기업,25
날짜,25
전라도,25
남성,25
집행,25
포함,25
가족,25
해지,24
판단,24
거주,24
지역,24
공문서,24
김태환,24
혐의점,24
발설,24
뱅킹,24
부모,23
처음,23
이것,23
경찰,23
보상,23
인출,23
마지막,23
동안,23
자분,23
종결,23
비밀,23
작년,22
근무,22
주택,22
피싱,22
작성,22
일차,22
마무리,22
내일,22
사진,22
대로,22
로그인,22
대략,22
분류,21
예금,21
금일,21
안건,21
무혐,21
카페,21
당시,21
소환,21
일부,21
건데요,21
텐데,21
김준우,21
고지,21
자리,21
제외,21
건지,20
어머니,20
부산,20
최대한,20
지인,20
도착,20
카카오,20
인계,20
유지,20
목소리,20
조직원,20
여권,20
인지,20
가입,20
개월,20
클릭,20
해외,20
저기,20
기단,20
창구,20
대신,19
종료,19
시도,19
물품,19
주위,19
보이스,19
출석,19
중고,19
변경,18
파악,18
김용식,18
상관,18
센터,18
대기,18
대량,18
계설,18
요구,18
증서,18
파일,18
증권,17
한도,17
기타,17
이자,17
귀하,17
주범,17
그걸,17
대가,17
처분,17
내방,17
계속,17
마이너스,17
김인수,17
수표,16
달러,16
휴먼,16
연류,16
시점,16
금요일,16
최대,16
기존,16
홈페이지,16
이후,16
환수,16
수고,16
혐의,16
신고,16
입력,16
자유,15
커피,15
차후,15
전반,15
공판,15
국고,15
누구,15
채택,15
인사,15
경찰서,15
뱅크,15
침해,15
유산,15
증명,15
민원,15
생년월일,15
처벌,15
잔고,15
업체,14
기간,14
남편,14
기계,14
참고,14
내사,14
동일,14
법정,14
여섯,14
대조,14
공간,14
이걸,14
해약,14
고요,14
사례,14
이하,14
관리,13
깡통,13
등급,13
차단,13
준비,13
한글,13
이외,13
대상자,13
나이,13
범죄자,13
학교,13
파견,13
공무,13
조금,13
불량,13
삼자,13
마을,12
비회원,12
도주,12
재판,12
시작,12
소속,12
음성,12
복귀,12
완료,12
공범,12
언제,12
이력,12
현대,12
지시,12
토대,12
영장,12
발송,12
책임,12
아이디,12
경남,12
검색,12
수원,12
소지,12
잡음,12
거짓,12
성립,12
예정,12
요청,12
대부,12
대구,12
주소창,12
숫자,12
통신,12
전자,11
기준,11
여부,11
타인,11
형식,11
여성,11
상호,11
전국,11
감독,11
자동,11
관계,11
뭔지,11
열람,11
수수료,11
간주,11
예전,11
사무실,11
실질,11
위치,11
이쪽,11
담보,11
잔액,11
나머지,11
군데,10
미래,10
내선,10
구속,10
비용,10
종사,10
급여,10
국세청,10
휴면,10
서명,10
문장,10
협의,10
마찬가지,10
선택,10
이내,10
휴대,10
생활,10
씨티,10
폐기,10
