,Score
logistic_Acc,0.89
logistic_F1,0.8859726993255315
logistic_Rec,0.89
logistic_Pre,0.9000981727386221
naivebayes_Acc,0.7566666666666667
naivebayes_F1,0.7616545647358858
naivebayes_Rec,0.7566666666666667
naivebayes_Pre,0.7698038470277734
Randomforest_Acc,0.9566666666666667
Randomforest_F1,0.9562177328843995
Randomforest_Rec,0.9566666666666667
Randomforest_Pre,0.9565431797210008
XGBClassifier_ACC,0.98
XGBClassifier_F1,0.9799204849629981
XGBClassifier_REC,0.98
XGBClassifier_Pre,0.9799671957671957
SVM_ACC,0.9566666666666667
SVM_F1,0.9563488649940263
SVM_REC,0.9566666666666667
SVM_REC,0.9585328323492576
