,predict
0,1
1,1
2,0
3,1
4,0
5,1
6,0
7,1
8,0
9,1
10,0
11,0
12,1
13,1
14,0
15,1
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,1
24,0
25,0
26,1
27,0
28,0
29,0
30,1
31,0
32,0
33,0
34,1
35,0
36,1
37,0
38,0
39,1
40,0
41,1
42,0
43,1
44,0
45,0
46,0
47,1
48,0
49,1
50,0
51,0
52,0
53,1
54,1
55,1
56,0
57,1
58,0
59,0
60,0
61,1
62,0
63,0
64,0
65,0
66,0
67,0
68,1
69,0
70,0
71,1
72,0
73,0
74,1
75,1
76,0
77,1
78,0
79,0
80,0
81,1
82,0
83,0
84,1
85,1
86,0
87,0
88,0
89,0
90,1
91,0
92,1
93,1
94,0
95,1
96,0
97,1
98,1
99,0
100,0
101,0
102,1
103,0
104,1
105,0
106,0
107,1
108,0
109,1
110,0
111,1
112,1
113,0
114,0
115,1
116,0
117,1
118,1
119,0
120,0
121,1
122,0
123,0
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,0
135,0
136,1
137,1
138,1
139,1
140,0
141,1
142,1
143,0
144,0
145,0
146,0
147,0
148,1
149,1
150,0
151,0
152,1
153,0
154,0
155,1
156,1
157,0
158,0
159,0
160,1
161,1
162,0
163,1
164,1
165,1
166,1
167,1
168,1
169,0
170,1
171,1
172,1
173,0
174,0
175,1
176,0
177,0
178,0
179,0
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,0
188,0
189,1
190,1
191,0
192,1
193,0
194,1
195,0
196,1
197,1
198,1
199,1
200,0
201,0
202,1
203,1
204,1
205,1
206,0
207,1
208,1
209,0
210,0
211,1
212,1
213,0
214,1
215,1
216,0
217,0
218,1
219,0
220,1
221,0
222,1
223,0
224,0
225,0
226,1
227,1
228,1
229,0
230,0
231,1
232,0
233,1
234,1
235,1
236,1
237,1
238,0
239,1
240,0
241,1
242,1
243,1
244,1
245,0
246,1
247,0
248,1
249,1
250,0
251,0
252,0
253,1
254,0
255,1
256,1
257,1
258,1
259,1
260,0
261,0
262,0
263,1
264,0
265,1
266,0
267,0
268,1
269,1
270,1
271,0
272,0
273,0
274,0
275,1
276,1
277,1
278,0
279,1
280,1
281,0
282,1
283,1
284,0
285,0
286,1
287,0
288,1
289,1
290,1
291,1
292,0
293,0
294,0
295,1
296,1
297,1
298,1
299,0
300,0
301,1
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,1
310,1
311,0
312,0
313,0
314,0
315,0
316,1
317,1
318,1
319,0
320,0
321,0
322,1
323,0
324,0
325,1
326,0
327,1
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,1
336,0
337,0
338,0
339,0
340,1
341,0
342,1
343,0
344,0
345,1
346,0
347,1
348,0
349,1
350,0
351,0
352,0
353,0
354,0
355,1
356,0
357,0
358,1
359,1
360,0
361,1
362,0
363,0
364,0
365,0
366,0
367,0
368,1
369,0
370,1
371,1
372,0
373,1
374,1
375,0
376,0
377,0
378,0
379,0
380,0
381,1
382,0
383,1
384,1
385,0
386,1
387,0
388,1
389,1
390,0
391,0
392,0
393,0
394,0
395,1
396,0
397,1
398,0
399,1
400,1
401,0
402,1
403,0
404,0
405,1
406,1
407,1
408,1
409,1
410,0
411,0
412,1
413,1
414,0
415,1
416,0
417,1
418,0
419,1
420,1
421,0
422,0
423,1
424,1
425,1
426,1
427,1
428,0
429,0
430,0
431,0
432,1
433,1
434,0
435,1
436,1
437,0
438,0
439,1
440,0
441,0
442,0
443,1
444,0
445,0
446,0
447,1
448,0
449,0
450,0
451,1
452,0
453,0
454,1
455,1
456,1
457,1
458,0
459,1
460,1
461,1
462,1
463,0
464,0
465,1
466,1
467,0
468,1
469,1
470,0
471,0
472,0
473,1
474,0
475,1
476,1
477,0
478,0
479,0
480,1
481,1
482,0
483,1
484,1
485,1
486,0
487,0
488,0
489,1
490,0
491,0
492,1
493,0
494,0
495,0
496,0
497,0
498,1
499,1
500,0
501,0
502,1
503,0
504,0
505,1
506,1
507,0
508,1
509,1
510,1
511,0
512,1
513,0
514,1
515,0
516,1
517,0
518,0
519,0
520,0
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,0
530,0
531,1
532,0
533,1
534,1
535,1
536,0
537,0
538,0
539,1
540,1
541,0
542,1
543,1
544,0
545,1
546,0
547,0
548,1
549,1
550,0
551,0
552,0
553,1
554,0
555,0
556,1
557,1
558,0
559,1
560,1
561,0
562,0
563,0
564,1
565,1
566,0
567,1
568,1
569,0
570,1
571,1
572,1
573,0
574,0
575,0
576,0
577,0
578,1
579,0
580,1
581,0
582,1
583,1
584,0
585,1
586,0
587,0
588,1
589,0
590,1
591,1
592,0
593,0
594,0
595,1
596,0
597,1
598,1
599,1
600,1
601,0
602,1
603,1
604,1
605,1
606,1
607,1
608,0
609,0
610,1
611,0
612,0
613,0
614,0
615,1
616,0
617,0
618,0
619,1
620,1
621,0
622,1
623,0
624,1
625,1
626,0
627,0
628,0
629,0
630,0
631,1
632,1
633,1
634,1
635,0
636,1
637,1
638,0
639,0
640,1
641,1
642,1
643,0
644,1
645,0
646,0
647,0
648,0
649,1
650,0
651,1
652,1
653,1
654,0
655,1
656,1
657,1
658,1
659,0
660,1
661,1
662,1
663,1
664,1
665,0
666,1
667,1
668,1
669,1
670,1
671,1
672,0
673,1
674,1
675,0
676,1
677,1
678,0
679,1
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,1
688,0
689,0
690,0
691,1
692,0
693,0
694,0
695,1
696,0
697,0
698,1
699,1
700,0
701,0
702,1
703,0
704,1
705,1
706,1
707,0
708,1
709,0
710,0
711,1
712,0
713,0
714,1
715,0
716,1
717,0
718,0
719,1
720,1
721,0
722,1
723,1
724,1
725,0
726,1
727,0
728,0
729,1
730,0
731,0
732,1
733,1
734,1
735,1
736,0
737,0
738,0
739,0
740,0
741,1
742,1
743,1
744,1
745,0
746,0
747,0
748,1
749,0
750,0
751,0
752,0
753,1
754,0
755,0
756,1
757,1
758,0
759,1
760,0
761,1
762,0
763,0
764,0
765,0
766,1
767,0
768,0
769,1
770,0
771,1
772,1
773,0
774,0
775,0
776,1
777,0
778,0
779,1
780,1
781,1
782,0
783,0
784,0
785,1
786,0
787,0
788,0
789,0
790,0
791,1
792,1
793,1
794,1
795,1
796,1
797,0
798,1
799,1
800,0
801,1
802,1
803,1
804,0
805,0
806,1
807,0
808,0
809,0
810,1
811,1
812,1
